title,description,icon,xp_reward,category,rarity,id,created_date,updated_date,created_by_id,is_sample
"Creative Mind","Create 10 projects","Palette","400","creative","epic","68f8bcf25b30026875dd2697","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Productivity Master","Complete 100 tasks","CheckSquare","750","productivity","legendary","68f8bcf25b30026875dd2698","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Social Butterfly","Connect with 10 friends","Users","250","social","rare","68f8bcf25b30026875dd2694","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Team Player","Help 5 teammates","Users","150","social","common","68f8bcf25b30026875dd269a","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Knowledge Seeker","Read 50 articles","BookOpen","300","learning","rare","68f8bcf25b30026875dd2696","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Early Bird","Start 7 days in a row at 6 AM","Sunrise","200","productivity","rare","68f8bcf25b30026875dd2699","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"First Steps","Complete your first challenge","Footprints","100","learning","common","68f8bcf25b30026875dd2693","2025-10-22T11:16:02.890000","2025-10-22T11:16:02.890000","68f8bc1e327b319b57e0d51f",""
"Leyenda","Alcanza el nivel 10","Star","1000","productivity","legendary","68f8d579552459be3bc2e261","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"Amigo Genial","Ayuda a un compañero con su tarea","Users","150","social","common","68f8d579552459be3bc2e260","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
"¡Primer Paso!","Completa tu primera tarea del día","Star","100","productivity","common","68f8d579552459be3bc2e25b","2025-10-22T13:00:41.466000","2025-10-22T13:00:41.466000","68f8bc1e327b319b57e0d51f",""
