subject,difficulty,question_text,question_image,options,correct_answer,id,created_date,updated_date,created_by_id,is_sample
"maths","1","¿Cuántas manzanas hay? 🍎🍎🍎","","[""2"",""3"",""4"",""5""]","3","68f9c923971a55481b6ba7fb","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","1","Si tienes 2 galletas y te dan 1 más, ¿cuántas galletas tienes?","","[""1"",""2"",""3"",""4""]","3","68f9c923971a55481b6ba7fc","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","1","¿Qué número viene después del 5?","","[""4"",""6"",""7"",""8""]","6","68f9c923971a55481b6ba7fd","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","2","¿Cuánto es 5 + 2?","","[""5"",""6"",""7"",""8""]","7","68f9c923971a55481b6ba7fe","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","2","¿Cuántas patas tiene un perro? 🐕","","[""2"",""3"",""4"",""5""]","4","68f9c923971a55481b6ba7ff","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","2","Si tienes 10 caramelos y comes 3, ¿cuántos te quedan?","","[""5"",""6"",""7"",""8""]","7","68f9c923971a55481b6ba800","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Cuánto es 8 + 4?","","[""10"",""11"",""12"",""13""]","12","68f9c923971a55481b6ba801","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Cuántas ruedas tienen 2 bicicletas?","","[""2"",""3"",""4"",""5""]","4","68f9c923971a55481b6ba802","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Qué número es mayor: 15 o 12?","","[""12"",""15"",""Son iguales"",""No sé""]","15","68f9c923971a55481b6ba803","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","4","¿Cuánto es 15 - 7?","","[""6"",""7"",""8"",""9""]","8","68f9c923971a55481b6ba804","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
